COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0504510000000000050119,18,15,2,0,1,16,15,0
0504510000000000050118,0,0,0,0,0,0,0,0
0504510000000000040726,24,19,1,0,4,19,19,0
0504510000000000040725,17,10,2,0,5,10,10,0
0504510000000000040740,30,29,0,0,1,35,29,0
0504510000000000040727,27,22,1,0,4,23,22,0
0504510000000000040720,22,19,1,0,2,22,19,0
0504510000000000040714,41,37,0,0,4,42,37,0
0504510000000000040724,31,28,0,0,3,30,28,0
0504510000000000040723,16,16,0,0,0,16,16,0
0504510000000000050105,45,40,3,0,2,40,40,0
0504510000000000050104,0,0,0,0,0,0,0,0
0504510000000000050107,25,24,0,0,1,24,24,0
0504510000000000050106,19,19,0,0,0,19,19,0
0504510000000000040742,22,18,2,0,2,18,17,1
0504510000000000040741,22,18,0,0,4,23,18,0
0504510000000000050103,42,38,3,0,1,41,38,0
0504510000000000050101,41,36,1,1,3,36,36,0
0504510000000000040633,30,25,4,1,0,25,25,0
0504510000000000040632,4,4,0,0,0,5,4,0
0504510000000000040705,48,42,2,0,4,44,42,0
0504510000000000040703,45,44,0,0,1,49,44,0
0504510000000000040629,33,32,0,0,1,32,31,1
0504510000000000040628,8,8,0,0,0,9,8,0
0504510000000000040631,5,5,0,0,0,6,5,0
0504510000000000040630,51,46,4,0,1,51,46,0
0504510000000000040711,51,49,0,0,2,49,49,0
0504510000000000040710,25,23,0,0,2,23,23,0
0504510000000000040713,27,23,0,0,4,24,23,0
0504510000000000040712,32,32,0,0,0,32,32,0
0504510000000000040707,48,37,9,0,2,39,37,0
0504510000000000040706,48,35,13,0,0,42,35,0
0504510000000000040709,39,36,1,0,2,41,36,0
0504510000000000040708,58,52,4,0,2,60,52,0
0504510000000000040617,39,33,2,3,1,34,33,0
0504510000000000040616,32,26,3,0,3,27,26,0
0504510000000000040619,27,27,0,0,0,31,27,0
0504510000000000040618,0,0,0,0,0,0,0,0
0504510000000000040613,18,16,2,0,0,19,16,0
0504510000000000040612,0,0,0,0,0,0,0,0
0504510000000000040615,43,40,0,1,2,40,40,0
0504510000000000040614,43,41,1,1,0,41,41,0
0504510000000000040625,27,22,3,0,2,29,22,0
0504510000000000040624,21,20,1,0,0,22,20,0
0504510000000000040627,21,20,0,0,1,22,20,0
0504510000000000040626,17,15,0,0,2,17,15,0
0504510000000000040621,27,21,4,0,2,23,21,0
0504510000000000040620,0,0,0,0,0,0,0,0
0504510000000000040623,0,0,0,0,0,0,0,0
0504510000000000040622,24,20,3,0,1,21,20,0
0504510000000000040519,4,4,0,0,0,7,4,0
0504510000000000040518,41,41,0,0,0,41,41,0
0504510000000000040602,0,0,0,0,0,0,0,0
0504510000000000040601,10,9,1,0,0,9,9,0
0504510000000000040515,30,29,0,0,1,29,29,0
0504510000000000040514,26,22,0,0,4,23,21,1
0504510000000000040517,36,33,0,0,3,43,33,0
0504510000000000040516,4,4,0,0,0,4,4,0
0504510000000000040609,0,0,0,0,0,0,0,0
0504510000000000040608,28,27,0,0,1,30,27,0
0504510000000000040611,27,26,0,0,1,28,26,0
0504510000000000040610,27,24,1,0,2,24,24,0
0504510000000000040605,0,0,0,0,0,0,0,0
0504510000000000040604,42,32,5,1,4,33,32,0
0504510000000000040607,0,0,0,0,0,0,0,0
0504510000000000040606,26,20,2,0,4,25,20,0
0504510000000000040501,12,12,0,0,0,12,12,0
0504510000000000040414,50,47,0,0,3,52,47,0
0504510000000000040504,100,98,0,0,2,99,98,0
0504510000000000040503,33,32,1,0,0,32,32,0
0504510000000000040411,11,11,0,0,0,11,11,0
0504510000000000040410,55,52,0,0,3,56,52,0
0504510000000000040413,39,37,0,0,2,37,37,0
0504510000000000040412,19,18,0,0,1,19,18,0
0504510000000000040510,0,0,0,0,0,0,0,0
0504510000000000040509,47,47,0,0,0,49,46,1
0504510000000000040512,42,42,0,0,0,46,42,0
